Mensaje
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
"12.40,214.50,123.40"
